iter	RMSE
1295	11753.70851
1296	11750.08809
1297	11746.77116
1298	11744.20157
1299	11743.87704
1300	11741.06886
1301	11738.99358
1302	11726.75738
1303	11724.7625
1304	11724.51472
1305	11721.38043
1306	11720.94367
1307	11713.76712
1308	11709.57419
1309	11703.36848
1310	11698.89053
1311	11698.63909
1312	11695.58672
1313	11680.94705
1314	11672.86293
1315	11659.13765
1316	11658.4475
1317	11655.39303
1318	11645.08205
1319	11642.30833
1320	11641.18495
1321	11639.87534
1322	11634.35937
1323	11631.15994
1324	11618.95492
1325	11618.71341
1326	11615.86529
1327	11611.56531
1328	11607.22078
1329	11607.1559
1330	11603.50993
1331	11602.84999
1332	11602.20161
1333	11599.23683
1334	11593.98031
1335	11592.64988
1336	11587.39508
1337	11587.18193
1338	11586.21382
1339	11582.95803
1340	11577.61765
1341	11576.97971
1342	11576.91005
1343	11576.60687
1344	11571.11776
1345	11570.4915
1346	11554.10348
1347	11550.75828
1348	11544.32731
1349	11531.92246
1350	11531.43188
1351	11528.03994
1352	11522.17529
1353	11521.96837
1354	11512.35818
1355	11498.58559
1356	11493.04817
1357	11489.52805
1358	11488.91428
1359	11479.11071
1360	11473.70739
1361	11473.23507
1362	11472.63342
1363	11461.97026
1364	11458.52835
1365	11455.03417
1366	11440.95994
1367	11430.85478
1368	11420.44275
1369	11420.26544
1370	11417.33328
1371	11415.7119
1372	11414.66015
1373	11411.12212
1374	11408.04655
1375	11405.55466
1376	11401.64498
1377	11399.04956
1378	11398.87427
1379	11398.43166
1380	11395.24029
1381	11392.30395
1382	11390.56533
1383	11381.00608
1384	11379.44642
1385	11378.86665
1386	11376.32575
1387	11372.55259
1388	11364.63412
1389	11362.28432
1390	11359.57928
1391	11355.17917
1392	11354.18839
1393	11344.2315
1394	11339.089
1395	11338.67556
1396	11338.50527
1397	11327.25999
1398	11324.70079
1399	11321.92133
1400	11309.32881
1401	11308.77478
1402	11306.34673
1403	11303.00573
1404	11302.03296
1405	11299.71647
1406	11299.54755
1407	11299.27184
1408	11296.67526
1409	11293.43269
1410	11288.52354
1411	11277.7013
1412	11277.53503
1413	11275.20923
1414	11264.93457
1415	11262.82531
1416	11255.17842
1417	11254.23685
1418	11253.6994
1419	11253.53358
1420	11250.55211
1421	11250.33662
1422	11244.99129
1423	11244.82968
1424	11241.77353
1425	11233.63643
1426	11223.73597
1427	11220.08956
1428	11217.89422
1429	11217.50038
1430	11210.78956
1431	11208.57734
1432	11208.04489
1433	11204.21345
1434	11202.02509
1435	11198.51293
1436	11189.29391
1437	11188.91196
1438	11186.92954
1439	11184.9305
1440	11184.77316
1441	11182.23177
1442	11171.43798
1443	11168.95535
1444	11168.80046
1445	11168.28287
1446	11164.44669
1447	11160.40515
1448	11160.23999
1449	11154.67898
1450	11152.8024
1451	11152.29512
1452	11144.11593
1453	11141.10014
1454	11134.66736
1455	11134.29994
1456	11132.25594
1457	11118.12628
1458	11115.73999
1459	11115.59016
1460	11115.23488
1461	11112.53966
1462	11109.18337
1463	11100.64048
1464	11096.7308
1465	11096.22981
1466	11096.08268
1467	11095.84666
1468	11083.07913
1469	11079.43475
1470	11068.55863
1471	11067.03971
1472	11066.83708
1473	11066.69094
1474	11061.36195
1475	11056.34284
1476	11051.57918
1477	11047.51414
1478	11045.2295
1479	11045.086
1480	11040.36308
1481	11035.19875
1482	11034.8592
1483	11030.61729
1484	11019.10074
1485	11018.7709
1486	11012.82602
1487	11012.68332
1488	11009.96046
1489	11007.77814
1490	11007.45445
1491	10995.04465
1492	10990.53342
1493	10985.59774
1494	10983.37933
1495	10978.15592
1496	10977.66861
1497	10977.52711
1498	10968.79589
1499	10963.81826
1500	10955.31964
1501	10949.59301
1502	10945.22282
1503	10940.70609
1504	10928.6414
1505	10928.50127
1506	10925.47765
1507	10922.92023
1508	10917.05287
1509	10909.27222
1510	10902.17196
1511	10890.14897
1512	10885.39758
1513	10885.09021
